,age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality,fame_score
0,85,1921,natural causes,January,2006,businessman chairman of IBM,Frank Cary,American,1.0
1,49,1957,murdered,January,2006,musician,Bryan Harvey,American,2.0
2,64,1942,Alzheimer's disease,January,2006,baseball player,Paul Lindblad,American,1.0
3,86,1920,Alzheimer's disease,January,2006,politician Representative from Oregon,Charles O. Porter,American,2.0
4,31,1975,probably pulmonary embolism,January,2006,footballer,GÌÁbor Zavadszky,Hungarian,1.0
5,31,1975,from injuries sustained in a biking accident,January,2006,football,JosÌ© Luis SÌÁnchez,Argentine,4.0
6,85,1921,heart failure,January,2006,actress,Shelley Winters,American,10.0
7,90,1916,doctor to Josip Broz Tito,January,2006,physician,Stjepan Steiner,Croatian,8.0
8,41,1965,complications from a long illness,January,2006,MLB player,Carlos (CafÌ©) MartÌ_nez,former,4.0
9,38,1968,complications from drug abuse,January,2006,punk rock singer,Jason Sears,American,4.0
10,82,1924,and radio host,February,2006,actor,Al Lewis,American,15.0
11,76,1930,murdered,February,2006,TV writer director,Alan Shalleck,American,4.0
12,81,1925,complications from aspiration pneumonia and lung cancer,February,2006,actor,Don Knotts,American,16.0
13,81,1925,complications from cancer,February,2006,actor,Dennis Weaver,American,15.0
14,83,1923,natural causes,February,2006,actor,Darren McGavin,American,13.0
15,83,1923,prostate cancer,March,2006,politician former Democratic United States Representative from Michigan,Richard Vander Veen,American,4.0
16,45,1961,stroke complications,March,2006,baseball player,Kirby Puckett,American,36.0
17,93,1913,cancer,March,2006,photographer film director,Gordon Parks,American,62.0
18,80,1926,chronic obstructive pulmonary disease,March,2006,actress,Maureen Stapleton,American,12.0
19,63,1943,plane crash,March,2006,game show host,Peter Tomarken,American,7.0
20,87,1919,heart failure,March,2006,Prime Minister of Greece,Georgios Rallis,former,11.0
21,86,1920,cancer,March,2006,of Pennsylvania House of Representatives,K. Leroy Irvis,Speaker,1.0
22,80,1926,and World War II veteran,March,2006,actor,Britt Lomond,American,2.0
23,87,1919,,March,2006,country-western songwriter,Cindy Walker,American,17.0
24,76,1930,heart attack,March,2006,country music star,Buck Owens,American,30.0
25,78,1928,,March,2006,four time chief minister and defence minister of India during Indian Emergency,Bansi Lal,Haryana's,1.0
26,93,1913,National Champion,April,2006,cyclist,Hermann Schild,German,2.0
27,81,1925,complications from brain haemorrhage,April,2006,film director,Vilgot SjÌ¦man,Swedish,7.0
28,40,1966,,April,2006,noble epilepsy,Lord Eliot (Jago Eliot),English,11.0
29,91,1915,one of the largest Hassidic Jewish groups in the world,April,2006,Hasidic rebbe of Satmar,Grand Rabbi Moshe Teitelbaum (Satmar),Hungarian-born,14.0
30,89,1917,stroke,April,2006,Canadian urban activist and author,Jane Jacobs,American-born,110.0
31,97,1909,natural causes,April,2006,economist and author,John Kenneth Galbraith,American,84.0
32,48,1958,Canadian Broadcasting Corporation,May,2006,television journalist,Lorne Saxberg,Canadian,3.0
33,62,1944,heart attack,May,2006,television journalist,Richard Carleton,Australian,12.0
34,68,1938,pancreatic cancer,May,2006,voice actress and actress and tokusatsu legend,Machiko Soga,Japanese,1.0
35,87,1919,pneumonia,May,2006,football player,John Kimbrough,American,1.0
36,85,1921,stroke,May,2006,actor,Frankie Thomas,American,4.0
37,49,1957,suspected heart attack,May,2006,former NFL football player,Dan Ross,American,7.0
