,age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality,fame_score,died_young,cancer,heart,natur,pneumonia,stroke,traffic,continent,north_american,european,south_american,australian,asian,other,season
0,85,1921,natur caus ,January,2006,businessman,Frank Cary,american,1,0,0,0,1,0,0,0,north_american,1,0,0,0,0,0,winter
1,49,1957,murder ,January,2006,musician,Bryan Harvey,american,2,1,0,0,0,0,0,0,north_american,1,0,0,0,0,0,winter
2,64,1942,alzheimer' diseas ,January,2006,basebal,Paul Lindblad,american,1,1,0,0,0,0,0,0,north_american,1,0,0,0,0,0,winter
3,86,1920,alzheimer' diseas ,January,2006,politician,Charles O. Porter,american,2,0,0,0,0,0,0,0,north_american,1,0,0,0,0,0,winter
4,31,1975,probabl pulmonari embol ,January,2006,footbal,GÌÁbor Zavadszky,hungarian,1,1,0,0,0,0,0,0,european,0,1,0,0,0,0,winter
5,31,1975,from injuri sustain in a bike accid ,January,2006,footbal,JosÌ© Luis SÌÁnchez,argentin,4,1,0,0,0,0,0,0,south_american,0,0,1,0,0,0,winter
6,85,1921,heart failur ,January,2006,actress,Shelley Winters,american,10,0,0,1,0,0,0,0,north_american,1,0,0,0,0,0,winter
7,90,1916,doctor to josip broz tito ,January,2006,physician,Stjepan Steiner,croatian,8,0,0,0,0,0,0,0,other,0,0,0,0,0,1,winter
8,41,1965,complic from a long ill ,January,2006,mlb,Carlos (CafÌ©) MartÌ_nez,former,4,1,0,0,0,0,0,0,other,0,0,0,0,0,1,winter
9,38,1968,complic from drug abus ,January,2006,punk,Jason Sears,american,4,1,0,0,0,0,0,0,north_american,1,0,0,0,0,0,winter
10,82,1924,and radio host ,February,2006,actor,Al Lewis,american,15,0,0,0,0,0,0,0,north_american,1,0,0,0,0,0,winter
11,76,1930,murder ,February,2006,TV,Alan Shalleck,american,4,1,0,0,0,0,0,0,north_american,1,0,0,0,0,0,winter
12,81,1925,complic from aspir pneumonia and lung cancer ,February,2006,actor,Don Knotts,american,16,0,1,0,0,1,0,0,north_american,1,0,0,0,0,0,winter
13,81,1925,complic from cancer ,February,2006,actor,Dennis Weaver,american,15,0,1,0,0,0,0,0,north_american,1,0,0,0,0,0,winter
14,83,1923,natur caus ,February,2006,actor,Darren McGavin,american,13,0,0,0,1,0,0,0,north_american,1,0,0,0,0,0,winter
15,83,1923,prostat cancer ,March,2006,politician,Richard Vander Veen,american,4,0,1,0,0,0,0,0,north_american,1,0,0,0,0,0,spring
16,45,1961,stroke complic ,March,2006,basebal,Kirby Puckett,american,36,1,0,0,0,0,1,0,north_american,1,0,0,0,0,0,spring
17,93,1913,cancer ,March,2006,photograph,Gordon Parks,american,62,0,1,0,0,0,0,0,north_american,1,0,0,0,0,0,spring
18,80,1926,chronic obstruct pulmonari diseas ,March,2006,actress,Maureen Stapleton,american,12,0,0,0,0,0,0,0,north_american,1,0,0,0,0,0,spring
19,63,1943,plane crash ,March,2006,game,Peter Tomarken,american,7,1,0,0,0,0,0,0,north_american,1,0,0,0,0,0,spring
20,87,1919,heart failur ,March,2006,prime,Georgios Rallis,former,11,0,0,1,0,0,0,0,other,0,0,0,0,0,1,spring
21,86,1920,cancer ,March,2006,of,K. Leroy Irvis,speaker,1,0,1,0,0,0,0,0,other,0,0,0,0,0,1,spring
22,80,1926,and world war II veteran ,March,2006,actor,Britt Lomond,american,2,0,0,0,0,0,0,0,north_american,1,0,0,0,0,0,spring
23,87,1919, ,March,2006,country-western,Cindy Walker,american,17,0,0,0,0,0,0,0,north_american,1,0,0,0,0,0,spring
24,76,1930,heart attack ,March,2006,countri,Buck Owens,american,30,1,0,1,0,0,0,0,north_american,1,0,0,0,0,0,spring
25,78,1928, ,March,2006,four,Bansi Lal,haryana',1,0,0,0,0,0,0,0,other,0,0,0,0,0,1,spring
26,93,1913,nation champion ,April,2006,cyclist,Hermann Schild,german,2,0,0,0,0,0,0,0,european,0,1,0,0,0,0,spring
27,81,1925,complic from brain haemorrhag ,April,2006,film,Vilgot SjÌ¦man,swedish,7,0,0,0,0,0,0,0,european,0,1,0,0,0,0,spring
28,40,1966, ,April,2006,nobl,Lord Eliot (Jago Eliot),english,11,1,0,0,0,0,0,0,european,0,1,0,0,0,0,spring
29,91,1915,one of the largest hassid jewish group in the world ,April,2006,hasid,Grand Rabbi Moshe Teitelbaum (Satmar),hungarian,14,0,0,0,0,0,0,0,european,0,1,0,0,0,0,spring
30,89,1917,stroke ,April,2006,canadian,Jane Jacobs,american,110,0,0,0,0,0,1,0,north_american,1,0,0,0,0,0,spring
31,97,1909,natur caus ,April,2006,economist,John Kenneth Galbraith,american,84,0,0,0,1,0,0,0,north_american,1,0,0,0,0,0,spring
32,48,1958,canadian broadcast corpor ,May,2006,televis,Lorne Saxberg,canadian,3,1,0,0,0,0,0,0,north_american,1,0,0,0,0,0,spring
33,62,1944,heart attack ,May,2006,televis,Richard Carleton,australian,12,1,0,1,0,0,0,0,australian,0,0,0,1,0,0,spring
34,68,1938,pancreat cancer ,May,2006,voic,Machiko Soga,japanes,1,1,1,0,0,0,0,0,asian,0,0,0,0,1,0,spring
35,87,1919,pneumonia ,May,2006,footbal,John Kimbrough,american,1,0,0,0,0,1,0,0,north_american,1,0,0,0,0,0,spring
36,85,1921,stroke ,May,2006,actor,Frankie Thomas,american,4,0,0,0,0,0,1,0,north_american,1,0,0,0,0,0,spring
37,49,1957,suspect heart attack ,May,2006,former,Dan Ross,american,7,1,0,1,0,0,0,0,north_american,1,0,0,0,0,0,spring
