birth_year,count
1944,196
1941,181
1945,175
1947,175
1940,172
1943,167
1946,166
1938,166
1942,161
1939,161
1948,156
1937,152
1949,144
1950,134
1952,127
1936,125
1951,115
1953,108
1935,106
1956,104
1955,103
1954,95
1957,91
1959,81
1962,81
1958,80
1964,79
1961,76
1960,76
1934,75
1963,70
1933,67
1966,57
1967,57
1969,53
1976,44
1932,43
1965,43
1975,43
1972,41
1970,40
1971,39
1968,37
1974,36
1983,34
1984,33
1981,33
1973,32
1979,30
1986,28
1931,28
1978,27
1987,27
1982,26
1980,26
1977,25
1988,24
1985,21
1989,19
1930,18
1991,17
1990,15
1993,14
1992,10
1994,9
1995,9
1929,8
1996,7
1997,5
2005,3
2000,3
2008,3
2004,2
2001,2
1998,2
2006,2
1999,2
2009,1
2002,1
2010,1
