cause_of_death, count
cancer ,754
heart attack ,531
lung cancer ,187
traffic collis ,133
heart failur ,132
pancreat cancer ,129
shot ,113
stroke ,87
after long ill ,78
cardiac arrest ,77
brain cancer ,69
prostat cancer ,66
pneumonia ,62
liver cancer ,61
leukemia ,60
natur caus ,56
car accid ,54
breast cancer ,53
suicid ,48
stomach cancer ,46
plane crash ,38
suicid by gunshot ,37
colon cancer ,36
throat cancer ,32
drown ,31
kidney failur ,31
alzheimer' diseas ,30
amyotroph later sclerosi ,30
complic from a stroke ,29
suicid by hang ,27
fall ,26
esophag cancer ,26
lymphoma ,25
colorect cancer ,24
heart diseas ,24
brain tumor ,23
multipl organ failur ,21
pulmonari embol ,21
multipl myeloma ,20
euthan ,20
brain tumour ,19
ovarian cancer ,19
diabet ,19
helicopt crash ,19
parkinson' diseas ,19
respiratori failur ,18
after short ill ,18
stab ,17
melanoma ,17
brain aneurysm ,16
suspect heart attack ,16
bladder cancer ,16
appar heart attack ,16
complic from surgeri ,16
emphysema ,15
suicid by jump ,14
motor neuron diseas ,14
car crash ,14
liver failur ,13
cerebr hemorrhag ,13
complic from diabet ,12
complic from pneumonia ,11
mesothelioma ,11
brain hemorrhag ,10
bone cancer ,10
pulmonari fibrosi ,10
leukaemia ,9
myocardi infarct ,9
motorcycl accid ,9
drug overdos ,8
renal failur ,8
blood clot ,8
skin cancer ,7
bile duct cancer ,7
kidney cancer ,7
complic from a heart attack ,7
U ,6
dementia ,6
lung diseas ,6
shoot ,6
cervic cancer ,6
road accid ,6
complic from alzheimer' diseas ,6
liver diseas ,6
complic from parkinson' diseas ,5
kidney diseas ,5
sepsi ,5
aneurysm ,5
accident drug overdos ,5
complic of diabet ,5
complic from leukemia ,5
appar suicid by gunshot ,5
chronic obstruct pulmonari diseas ,5
murder ,5
ill ,5
complic of a stroke ,5
behead ,5
aortic dissect ,5
complic from a fall ,5
lung infect ,5
at the wayback machin ,5
complic of parkinson' diseas ,5
injuri from a fall ,5
head injuri ,5
appar suicid ,5
airstrik ,5
hit by train ,5
complic from heart surgeri ,5
bowel cancer ,5
non-hodgkin lymphoma ,5
suspect suicid ,4
complic from stroke ,4
member of the U ,4
complic from dementia ,4
execut by hang ,4
renal cancer ,4
euthanis ,4
heart condit ,4
brain haemorrhag ,4
myelodysplast syndrom ,4
complic from heart attack ,4
endometri cancer ,4
acut myeloid leukemia ,4
race collis ,4
appar suicid by hang ,4
creutzfeldt䞘jakob diseas ,4
injuri sustain in a traffic collis ,3
respiratori diseas ,3
laryng cancer ,3
hodgkin' lymphoma ,3
complic from prostat cancer ,3
amyloidosi ,3
blood infect ,3
strangl ,3
respiratori infect ,3
metastat melanoma ,3
