nationality,count
american,2146
british,372
canadian,217
australian,136
english,111
indian,109
japanes,97
russian,91
brazilian,85
german,79
mexican,69
french,67
italian,58
irish,53
norwegian,51
scottish,49
spanish,48
south,46
swedish,44
argentin,43
dutch,42
filipino,41
polish,41
new,39
romanian,31
ukrainian,29
belgian,25
greek,23
czech,22
nigerian,22
chines,21
danish,20
turkish,17
swiss,17
pakistani,17
hungarian,17
venezuelan,16
iranian,16
austrian,16
portugues,16
malaysian,16
finnish,15
colombian,15
welsh,14
dominican,14
isra,14
jamaican,13
kenyan,12
uruguayan,12
serbian,12
honduran,11
croatian,11
taiwanes,11
chilean,11
cuban,11
indonesian,11
puerto,11
bulgarian,10
trinidadian,8
thai,8
northern,8
lebanes,8
salvadoran,7
afghan,7
ghanaian,6
sri,6
iraqi,6
north,6
cypriot,6
peruvian,6
saudi,6
haitian,6
latvian,6
iceland,6
palestinian,5
hong,5
somali,5
tanzanian,5
egyptian,5
guatemalan,5
syrian,5
bosnian,5
zambian,5
bahamian,4
estonian,4
argentinian,4
cameroonian,4
soviet,4
belarusian,4
bangladeshi,4
ethiopian,4
slovak,4
ecuadorian,4
georgian,4
moroccan,3
zimbabwean,3
moldovan,3
turkmen,3
tunisian,3
nepales,3
solomon,3
fijian,3
libyan,3
lithuanian,3
slovenian,3
albanian,3
malian,3
tongan,3
belizean,3
nepali,3
kuwaiti,2
governor,2
philippin,2
armenian,2
maltes,2
rwandan,2
malagasi,2
singaporean,2
chadian,2
algerian,2
gabones,2
costa,2
guinean,2
montserratian,2
ugandan,2
qatari,2
vietnames,2
papua,2
guyanes,2
congoles,2
macedonian,2
I,2
paraguayan,2
kazakh,2
sahrawi,2
gambian,2
maldivian,2
sierra,2
unit,2
cook,2
bissau,2
sloven,2
jordanian,1
cambodian,1
curaì¤aon,1
former,1
czechoslovakian,1
marshalles,1
nauruan,1
sailorcamil,1
salvadorian,1
greenland,1
guadeloupean,1
burmes,1
dagestani,1
humanitarian,1
nigerien,1
ivorian,1
tibetan,1
grenadian,1
bolivian,1
mongolian,1
malawian,1
burkinab,1
namibian,1
equatori,1
montenegrin,1
emirati,1
panamanian,1
djiboutian,1
filipina,1
caymanian,1
gibraltarian,1
senegales,1
first,1
guamanian,1
manx,1
niuean,1
slovakian,1
kazakhstani,1
tuvaluan,1
azerbaijani,1
curaì¤aoan,1
samoan,1
jersey,1
aruban,1
yemeni,1
nevisian,1
faroes,1
equatoguinean,1
abkhazian,1
attorney,1
guinea,1
east,1
antiguan,1
swazi,1
liberian,1
