famous_for,count
politician,777
footbal,592
actor,314
actress,205
basebal,117
singer,113
musician,112
olymp,104
basketbal,96
film,96
journalist,82
televis,77
american,47
ice,42
roman,42
writer,42
drummer,39
zealand,35
author,35
guitarist,34
comedian,33
diplomat,33
rock,31
radio,29
businessman,28
lawyer,26
african,24
bassist,24
rugbi,24
judg,22
voic,22
singer-songwrit,22
profession,22
korean,20
screenwrit,20
songwrit,19
canadian,19
poet,18
comic,18
anim,18
boxer,18
australian,17
compos,17
cricket,17
jazz,16
thoroughbr,15
countri,15
race,14
sport,14
news,14
bass,13
rican,13
newspap,12
hall,12
pop,12
cartoonist,12
model,12
record,12
novelist,12
british,11
educ,11
racehors,11
civil,11
presid,10
keyboardist,10
music,10
gener,10
member,10
r&b,10
director,10
jurist,10
documentari,9
colleg,9
polit,9
swimmer,9
saxophonist,8
public,8
busi,8
anglican,8
polic,8
financi,7
realiti,7
professor,7
academ,7
playwright,7
orthodox,7
soul,7
militari,7
athlet,7
rapper,7
chief,7
cyclist,7
historian,7
TV,7
execut,7
soviet,7
feder,6
broadcast,6
architect,6
manga,6
sportscast,6
economist,6
first,6
prime,6
photograph,6
punk,6
motorcycl,6
folk,6
heavi,6
lankan,6
photojournalist,6
new,6
irish,6
volleybal,6
child,5
nation,5
african-born,5
kong,5
mix,5
beauti,5
rhythm,5
island,5
milit,5
entrepreneur,5
graphic,5
charact,5
russian,5
world,5
attorney,5
art,5
fashion,5
scienc,5
stage,5
activist,5
report,5
hockey,5
media,5
armi,5
cinematograph,5
islamist,4
tribal,4
set,4
technolog,4
soldier,4
blue,4
magazin,4
tenni,4
visual,4
zealand-born,4
physician,4
jesuit,4
artist,4
puppet,4
theatr,4
rap,4
vocalist,4
MP,4
filmmak,4
murder,4
rower,4
sound,4
publish,4
game,4
telenovela,4
emmi,4
afl,4
pornograph,3
german,3
bluegrass,3
track,3
test,3
stunt,3
minist,3
video,3
bodybuild,3
disc,3
weightlift,3
brazilian,3
comedi,3
health,3
automot,3
progress,3
french,3
drug,3
biograph,3
nfl,3
band,3
social,3
comput,3
entertain,3
student,3
former,3
french-train,3
canoeist,3
labor,3
sumo,3
ukrainian,3
physicist,3
drag,3
soccer,3
fantasi,3
cfl,3
state,3
academi,3
judoka,3
stuntman,3
cardiologist,2
product,2
air,2
keyboard,2
sudanes,2
guerrilla,2
heavyweight,2
wheelchair,2
basqu,2
governor,2
club,2
educationalist,2
produc,2
emmy-win,2
of,2
